id,location,geonames_id,lat,lon,display_name,,,"If the Geocode script can't find coordinates for a place, try searching for the place in Wikidata and manually copy the coordinates."
0001,A bord de la frégate à vapeur l'Ulloa,,,,0001: A bord de la frégate à vapeur l'Ulloa,,,
0002,"A bord du transport ""La Sarthe""",,,,"0002: A bord du transport ""La Sarthe""",,,
0003,"A bord du transport le ""Japon""",,,,"0003: A bord du transport le ""Japon""",,,
0004,Abou Korkas,,,,0004: Abou Korkas,,,
0005,Abou-Zabel,,,,0005: Abou-Zabel,,,
0006,Abouzabel,,,,0006: Abouzabel,,,
0007,Abu-Zabel,,,,0007: Abu-Zabel,,,
0008,Abyssinia,337996,9.000,39.500,0008: Abyssinia,,,
0009,Abyssinie,337996,9.000,39.500,0009: Abyssinie,,,
0010,"Acqueville, Département de la Manche",3038682,49.609,-1.750,"0010: Acqueville, Département de la Manche",,,
0011,Agde,3038638,43.311,3.476,0011: Agde,,,
0012,"Agde, Département de l'Hérault",3038638,43.311,3.476,"0012: Agde, Département de l'Hérault",,,
0013,"Agen, Département de Lot et Garonne",2980676,44.178,0.516,"0013: Agen, Département de Lot et Garonne",,,
0014,"Agen, Département du Lot-et-Garonne",3038634,44.200,0.627,"0014: Agen, Département du Lot-et-Garonne",,,
0015,"Agen, Département du Tarn et Garonne",2971054,44.108,0.891,"0015: Agen, Département du Tarn et Garonne",,,
0016,"Agnetz, Département de l'Oise",3038604,49.381,2.386,"0016: Agnetz, Département de l'Oise",,,
0017,"Agon, Département de la Manche",3038590,49.042,-1.575,"0017: Agon, Département de la Manche",,,
0018,"Aibre, Département du Doubs",3038559,47.551,6.697,"0018: Aibre, Département du Doubs",,,
0019,"Aiglepierre, Département du Jura",3038545,46.953,5.817,"0019: Aiglepierre, Département du Jura",,,
0020,"Aigueperse, Département du Puy-de-Dôme",3038498,46.023,3.202,"0020: Aigueperse, Département du Puy-de-Dôme",,,
0021,"Aigues-Mortes, Département du Gard",3038493,43.567,4.191,"0021: Aigues-Mortes, Département du Gard",,,
0022,Aigues-Mortes (Gard),3038493,43.567,4.191,0022: Aigues-Mortes (Gard),,,
0023,"Aiguèze, Département du Gard",3038483,44.302,4.555,"0023: Aiguèze, Département du Gard",,,
0024,"Aiguines, Département du Var",3038459,43.776,6.243,"0024: Aiguines, Département du Var",,,
0025,"Ailhon, Département de l'Ardèche",6620020,44.598,4.342,"0025: Ailhon, Département de l'Ardèche",,,
0026,"Aillas, Département de la Gironde",3038448,44.474,-0.073,"0026: Aillas, Département de la Gironde",,,
0027,Aïoucha bent Saïd,,,,0027: Aïoucha bent Saïd,,,
0028,Airvault,3038384,46.827,-0.138,0028: Airvault,,,
0029,"Airvault, Département des Deux-Sèvres",3038384,46.827,-0.138,"0029: Airvault, Département des Deux-Sèvres",,,
0030,Aix,3038350,45.692,5.909,0030: Aix,,,
0031,"Aix, Département de Provence",3038354,43.528,5.450,"0031: Aix, Département de Provence",,,
0032,"Aix, Département des  Bouches-du-Rhône",3038354,43.528,5.450,"0032: Aix, Département des  Bouches-du-Rhône",,,
0033,"Aix-en-Provence, Département des Bouches du Rhône",3038354,43.528,5.450,"0033: Aix-en-Provence, Département des Bouches du Rhône",,,
0034,"Aix-les-Bains, Département de la Savoie",3038350,45.692,5.909,"0034: Aix-les-Bains, Département de la Savoie",,,
0035,Ajaccio,3038334,41.919,8.738,0035: Ajaccio,,,
0036,"Ajaccio, Département de la Corse",3038334,41.919,8.738,"0036: Ajaccio, Département de la Corse",,,
0037,"Ajaccio, Département de la Haute-Corse",,,,"0037: Ajaccio, Département de la Haute-Corse",,,
0038,Akmin,,,,0038: Akmin,,,
0039,Al Minya,360686,28.110,30.750,0039: Al Minya,,,
0040,"Alais, Département du Gard",3038224,44.125,4.081,"0040: Alais, Département du Gard",,,
0041,"Alan, Département de la Haute-Garonne",3038308,43.230,0.940,"0041: Alan, Département de la Haute-Garonne",,,
0042,"Albertville, Département de la Savoie",3038266,45.675,6.391,"0042: Albertville, Département de la Savoie",,,
0043,Albi,3038261,43.930,2.148,0043: Albi,,,
0044,"Albi, Département du Tarn",3038261,43.930,2.148,"0044: Albi, Département du Tarn",,,
0045,Albi (Tarn),3038261,43.930,2.148,0045: Albi (Tarn),,,
0046,"Alençon, Département de l'Orne",3038230,48.435,0.093,"0046: Alençon, Département de l'Orne",,,
0047,Alençon (Orne),3038230,48.435,0.093,0047: Alençon (Orne),,,
0048,"Alep, Syrie",170063,36.201,37.161,"0048: Alep, Syrie",,,
0049,"Alès, Département du Gard",3038224,44.125,4.081,"0049: Alès, Département du Gard",,,
0050,"Alex, Département de la Savoie",3038217,45.890,6.236,"0050: Alex, Département de la Savoie",,,
0051,Alexandrie,361058,31.202,29.916,0051: Alexandrie,,,
0052,Alexandrie d'Egypte,361058,31.202,29.916,0052: Alexandrie d'Egypte,,,
0053,"Alexandrie, Département d'Egypte",,,,"0053: Alexandrie, Département d'Egypte",,,
0054,"Alexandrie, Egypte",361058,31.202,29.916,"0054: Alexandrie, Egypte",,,
0055,Alger,2507480,36.732,3.087,0055: Alger,,,
0056,Alger (Algérie),2507480,36.732,3.087,0056: Alger (Algérie),,,
0057,"Alger, Département d'Algérie",2507480,36.732,3.087,"0057: Alger, Département d'Algérie",,,
0058,Algérie,2589581,28.000,3.000,0058: Algérie,,,
0059,"Algérie, Alger",2507480,36.732,3.087,"0059: Algérie, Alger",,,
0060,"Alixan, Département de la Drôme",3038186,44.974,5.029,"0060: Alixan, Département de la Drôme",,,
0061,"Allaines, Département de la Somme",3038180,49.963,2.946,"0061: Allaines, Département de la Somme",,,
0062,Allemagne,2921044,51.500,10.500,0062: Allemagne,,,
0063,"Allemans-du-Dropt, Département du Lot-et-Garonne",3038151,44.628,0.290,"0063: Allemans-du-Dropt, Département du Lot-et-Garonne",,,
0064,"Allemond, Département de l'Isère",3038146,45.129,6.037,"0064: Allemond, Département de l'Isère",,,
0065,"Allineuc, Département des Côtes-du-Nord",3038100,48.311,-2.872,"0065: Allineuc, Département des Côtes-du-Nord",,,
0066,"Allos, Département des Basses-Alpes",,,,"0066: Allos, Département des Basses-Alpes",,,
0067,"Alos, Département de l'Ariège",3038056,42.908,1.140,"0067: Alos, Département de l'Ariège",,,
0068,"Alzonne, Département de l'Aude",3037984,43.253,2.178,"0068: Alzonne, Département de l'Aude",,,
0069,"Ambérieu-en-Buguey, Département de l'Ain",,,,"0069: Ambérieu-en-Buguey, Département de l'Ain",,,
0070,"Ambres, Département du Tarn",3037891,43.732,1.813,"0070: Ambres, Département du Tarn",,,
0071,"Ambutrix, Département de l'Ain",3037879,45.938,5.339,"0071: Ambutrix, Département de l'Ain",,,
0072,"Amiens, Département de la Somme",3037854,49.900,2.300,"0072: Amiens, Département de la Somme",,,
0073,"Ammerschwihr, Département du Haut Rhin",3037842,48.125,7.283,"0073: Ammerschwihr, Département du Haut Rhin",,,
0074,"Amou, Département des Landes",3037829,43.593,-0.747,"0074: Amou, Département des Landes",,,
0075,"Ampilly-le-sec, Département de Côte d'Or",3037821,47.809,4.532,"0075: Ampilly-le-sec, Département de Côte d'Or",,,
0076,Amplepuis,3037818,45.973,4.330,0076: Amplepuis,,,
