"origin"	"dest"	"count"
2989590	361058	1
361058	361058	3756
3016970	3016970	1
3016970	361058	1
3000174	3030300	1
3030300	361055	3
3038638	3038638	7
3038638	361058	13
2988507	361058	190
2972328	361058	86
2485926	2475687	1
2475687	360630	44
360630	360630	2049
3003796	360630	6
360630	361058	75
2995469	361058	352
2995469	2995469	208
2995469	360630	171
3022214	361058	1
2490098	360630	4
2506999	360630	7
3031939	2503769	1
2503769	359796	3
2996944	359796	15
2981441	2995469	1
3017253	3017253	1
3017253	361058	1
2998324	358619	2
358619	358619	647
2507480	360610	1
3022076	361058	1
2990263	361058	1
3026941	361058	1
3030300	361058	25
358048	361058	7
3003148	360630	4
3013793	360630	7
3026262	359796	1
359796	359796	520
2973393	361058	6
745044	360630	10
745044	361058	12
2992778	360630	2
3031582	361058	13
3034640	1566083	1
1566083	358619	3
3034640	361058	11
146669	361058	2
146400	361058	4
2967393	360630	1
3009566	361058	2
2991179	361058	1
3022837	361058	1
170063	170063	1
170063	361058	1
3031005	360630	1
2973362	359796	1
2967728	358619	1
351277	361055	1
361055	361055	133
3034911	3034911	2
3034911	360630	2
3013500	361058	1
3006797	358619	3
2659587	360630	1
2501152	361058	10
2479536	361058	7
3868626	361058	1
2481700	361058	1
2972328	359796	26
3034640	358619	9
358619	359796	7
3034640	2520600	1
2520600	361058	1
6299495	361058	1
2968748	361058	3
2990363	361058	15
3038354	361058	15
3035681	361058	18
3018074	359796	1
2991879	361058	1
2995469	359796	66
2977214	361058	1
2464470	2464470	1
2464470	2995469	1
3007174	361058	1
3038483	358619	1
3034338	3034338	2
3034338	2988507	2
2988507	358619	41
358619	360630	19
2988507	359783	2
2995607	360630	3
3028808	359796	1
2985450	2985450	1
2985450	359796	1
3014358	361058	1
2978402	358619	1
2510769	360630	2
3023387	1566083	1
1566083	359796	50
3028722	3028722	1
3028722	361058	1
3038638	2995469	2
359796	358619	8
358619	360610	1
3035991	361058	1
2988507	360630	215
2972315	358619	3
3037051	360630	2
3023414	358619	1
2993379	358619	1
2986140	361058	1
2997336	1819729	1
1819729	359796	2
3026204	361055	1
2982757	358619	1
2507480	360630	78
360630	2507480	2
311046	361058	37
2990474	361058	3
3006414	361058	12
2995469	2988507	2
358619	361055	7
2995469	361055	14
2995469	358619	76
2988507	361055	21
3038590	358619	1
2496049	360630	1
2997736	360630	1
3035681	3035681	4
3035681	360630	6
3006414	358619	7
2986610	361058	1
2971053	2971053	2
3028185	361058	1
361058	360630	88
2976258	2995469	2
3005326	359796	1
3035843	3035843	2
3035843	7498240	1
361058	358619	13
3183089	360630	1
3002585	360630	1
3012856	360630	3
3012856	361058	5
3035661	1796236	1
1796236	359796	1
2977719	2977719	1
2977719	361058	1
3015119	358619	1
2967693	361055	1
361055	361058	57
2988507	2988507	99
2985286	6453658	1
6453658	359796	1
3036784	1566083	1
2986306	360630	1
2975349	361058	1
2996944	360630	47
6620223	6620223	2
6620223	359796	2
359783	360630	11
3013793	3013793	1
359783	359783	2
6299393	361055	1
2501152	360630	22
2992890	359796	2
3024635	358619	2
2972328	2972328	69
2993160	360630	1
3012937	359796	1
3035597	359796	1
2995387	2995469	1
3026610	2988507	1
360610	361058	7
2589581	360630	14
2507480	361055	5
361055	358619	12
2973259	358619	1
2988507	358048	4
2990440	361058	8
3034382	360630	5
3031582	360630	9
3031582	359796	3
3004433	361058	1
2976899	360630	1
2992984	361058	2
2992489	361058	1
2998127	1566083	1
2999180	2995469	1
2977295	361058	5
2997933	360630	1
3006699	358619	1
2980152	2980152	1
2980152	361058	1
2976258	361058	2
3013500	2974733	1
2974733	361058	8
3003650	3003650	4
3003650	361058	5
3167022	361058	1
3029256	361058	1
3000329	360630	1
2997148	361058	1
3038354	358619	2
2971549	2971549	1
2971549	359796	1
2975469	359796	1
3010025	359796	21
3008285	359796	1
3020850	361058	6
3020850	3020850	8
3017651	3010025	1
3019265	358619	1
2997767	3007680	1
3007680	360630	3
2969679	360630	4
2970295	361058	1
3028185	359796	1
2969478	359796	2
2996944	361058	53
3030300	3030300	10
3030300	359796	16
3010025	361058	10
3005326	358619	2
2997380	3027484	1
3027484	359796	2
3026686	361058	1
2991026	361058	1
2998396	358619	1
2969958	361058	2
2990969	354365	1
255274	360630	1
3032833	3032833	2
3032833	361058	5
3025943	3025943	1
3025943	359796	1
2986109	2986109	9
2986109	361058	11
3024534	3024534	1
3024534	361058	1
3011252	358619	1
2992166	359796	2
3020916	361055	1
361055	360630	11
2972315	361058	10
2993551	361058	1
2990264	1566083	1
2997547	361058	2
3014728	361058	11
3011385	358048	1
3011385	2972749	1
2998292	361058	1
2974427	361058	2
3028542	360630	4
3006414	359796	10
2974733	359796	3
3128026	361058	1
2978563	361055	1
3014477	361058	2
2993801	361058	1
3028487	361058	1
2990474	2990474	1
2990474	360630	2
2990474	359493	1
3029800	3029800	2
3029800	359796	4
3029800	358619	3
734330	360630	1
2983276	1808926	1
1808926	359796	1
2782113	358619	1
2991214	361055	2
3027371	359796	1
2986647	361058	1
2998417	2998417	1
2998417	359796	1
7287221	358619	1
163843	360630	1
2990440	360630	15
3024937	360630	1
2992166	361058	11
2984551	361058	1
2988507	1566083	5
2990969	359796	8
2972937	1566083	1
3032821	360630	1
2996944	358619	9
3014728	360630	9
3032833	358619	2
2658434	360630	6
3035498	2997577	1
2997577	361058	10
3035843	359796	1
